"","id","year","disaster_type","iso","country_name","occurrence","total_deaths","affected","injured","homeless","total_affected","total_damage"
"120",7792,2002,"Flood","PAK","Pakistan",3,37,3000,10,1000,1000,30
"121",7798,2002,"Flood","ROU","Romania",3,9,4800,1,3900,3900,290
"122",7810,2002,"Flood","TJK","Tajikistan",4,32,1248,13,2990,2990,2836
"123",7876,2002,"Miscellaneous accident","SYR","Syrian Arab Republic",1,21,8000,20,2000,2000,10000
"124",7901,2002,"Storm","IND","India",4,144,10000,250,5000,5000,416
"125",7912,2002,"Storm","FSM","Micronesia (Federated States of)",2,47,1300,148,175,175,500
"126",7935,2002,"Storm","THA","Thailand",2,1,27000,100,3104,3104,2000
"127",8146,2003,"Flood","BOL","Bolivia (Plurinational State of)",3,74,47500,29,10000,10000,1000
"128",8485,2004,"Flood","BRA","Brazil",2,35,3000,54,2200,2200,370
"129",8655,2004,"Storm","NIU","Niue",1,1,200,2,500,500,40000
"130",8918,2005,"Flood","NGA","Nigeria",2,60,1000,4,3000,3000,147
"131",8932,2005,"Flood","SOM","Somalia",2,12,5000,20,2500,2500,20
"132",8944,2005,"Flood","VEN","Venezuela (Bolivarian Republic of)",4,97,44000,147,1650,1650,51000
"133",8945,2005,"Flood","VNM","Viet Nam",5,192,74185,3,18205,18205,54000
"134",9033,2005,"Storm","HTI","Haiti",5,71,27740,53,185,185,50500
"135",9320,2006,"Flood","VNM","Viet Nam",5,178,50000,120,2000,2000,9000
"136",9347,2006,"Landslide","IDN","Indonesia",3,184,3000,13,8300,8300,37943
"137",9729,2007,"Storm","MDG","Madagascar",3,84,210495,16,12000,12000,240000
"138",9749,2007,"Storm","TWN","Taiwan (Province of China)",2,18,1000,79,1800,1800,60000
"139",10070,2008,"Storm","FRA","France",3,5,2100,6,600,600,80000
"140",10084,2008,"Storm","MOZ","Mozambique",1,9,165000,13,55000,55000,20000
"141",10101,2008,"Storm","VNM","Viet Nam",5,254,143830,159,12660,12660,190500
"142",10209,2009,"Earthquake","CHN","China",2,1,19549,336,50000,50000,318100
"143",10350,2009,"Flood","USA","United States of America (the)",4,11,9000,60,900,900,666000
"144",10436,2009,"Storm","MDG","Madagascar",3,27,122687,10,8102,8102,5000
"145",10556,2010,"Earthquake","SRB","Serbia",1,2,25440,120,1470,1470,132260
"146",10789,2010,"Storm","SLV","El Salvador",3,17,9217,3,2800,2800,20000
"147",10797,2010,"Storm","HND","Honduras",2,22,16673,4,7998,7998,90000
"148",10824,2010,"Storm","VNM","Viet Nam",3,35,32960,20,1620,1620,44500
"149",10921,2011,"Earthquake","MMR","Myanmar",1,74,18000,125,3152,3152,3600
"150",11016,2011,"Flood","NGA","Nigeria",4,174,30265,150,500,500,4500
"151",11118,2011,"Storm","ZAF","South Africa",2,6,2606,217,3500,3500,10000
"152",11234,2012,"Earthquake","MEX","Mexico",1,2,45000,11,4000,4000,320000
"153",11310,2012,"Flood","COL","Colombia",3,77,73500,18,8000,8000,102000
"154",11414,2012,"Storm","ARG","Argentina",2,19,7500,30,2000,2000,10000
"155",11424,2012,"Storm","HTI","Haiti",2,88,176500,27,33330,33330,254000
"156",11426,2012,"Storm","IDN","Indonesia",2,21,10000,60,490,490,1000
"157",11585,2013,"Flood","BRA","Brazil",5,119,204066,144,43200,43200,541500
"158",11638,2013,"Flood","VCT","Saint Vincent and the Grenadines",1,12,16885,37,500,500,108000
"159",11819,2013,"Wildfire","USA","United States of America (the)",5,22,111,17,2247,2247,706400
"160",11845,2014,"Earthquake","IRN","Iran (Islamic Republic of)",2,1,300,280,12000,12000,43000
"161",12119,2015,"Earthquake","CHN","China",5,25,211640,135,2000,2000,32850
"162",12187,2015,"Flood","IRN","Iran (Islamic Republic of)",5,52,24400,30,2000,2000,636000
"163",12295,2015,"Storm","DMA","Dominica",1,30,28000,20,574,574,482810
